132,1200,5,1a,5,877,122,17
133,1300,5,1a,5,877,221,24
134,1300,5,1a,5,877,201,24
135,1300,5,1a,5,877,221,22
136,1200,5,1a,5,877,133,27
137,1200,5,1a,5,877,152,27
138,1200,5,1a,5,877,154,27
139,1350,5,1a,5,877,293,58
140,1400,5,1a,5,877,397,85
141,1200,5,1a,5,877,127,20
142,1200,5,1a,5,877,123,23
143,1200,5,1a,5,877,154,27
144,1200,5,1a,5,877,163,28
145,1200,5,1a,5,877,157,32
146,1200,5,1a,5,877,138,29
147,1200,5,1a,5,877,-1,-3
148,1200,5,1a,5,877,-1,-3
149,1200,5,1a,5,877,143,25
150,1200,5,1a,5,877,143,28
151,1200,5,1a,5,877,125,25
152,1200,5,1a,5,877,114,14
153,1200,5,1a,5,877,133,17
154,1200,5,1a,5,877,134,34
155,1200,5,1a,5,877,115,33

171,1200,5,1a,5,1298,-2,-3
177,1200,5,1a,5,1298,-2,-3
178,1200,5,1a,5,1298,-1,-3
180,1300,5,1a,5,1801,246,41
181,1200,5,1a,5,1801,246,41
182,1200,5,1a,5,1801,246,41
183,1200,5,1a,5,2274,-1,-3

184,1200,5,1a,5,1298,-1,-3
185,1200,5,1a,5,1298,-1,-3
186,1200,5,1a,5,1298,-1,-3
187,1200,5,1a,5,1298,-1,-3
188,1200,5,1a,5,1298,186,42
189,1200,5,1a,5,1298,207,35
190,1200,5,1a,5,1298,207,31
191,1200,5,1a,5,1298,212,32
192,1200,5,1a,5,1298,191,28
193,1200,5,1a,5,1298,179,28
194,1300,5,1a,5,1298,329,50
195,1300,5,1a,5,1298,325,54
196,1200,5,1a,5,1298,191,30
197,1200,5,1a,5,1298,190,31
198,1200,5,1a,5,1298,212,33
199,1200,5,1a,5,1298,227,34
200,1200,5,1a,5,1298,236,35
201,1200,5,1a,5,1298,235,36
202,1200,5,1a,5,1298,232,48
203,1200,5,1a,5,1298,237,37
204,1200,5,1a,5,1298,217,46
205,1200,5,1a,5,1298,211,40
206,1200,5,1a,5,1298,210,50
207,1200,5,1a,5,1298,204,43
208,1200,5,1a,5,1298,171,36
209,1200,5,1a,5,1298,173,34
210,1200,5,1a,5,1298,176,34
211,1200,5,1a,5,1298,179,32
212,1200,5,1a,5,1298,164,34
213,1200,5,1a,5,1298,183,34
214,1200,5,1a,5,1298,232,40
215,1200,5,1a,5,1298,222,33
216,1200,5,1a,5,1298,191,31
217,1200,5,1a,5,1298,179,32
218,1200,5,1a,5,1298,194,32
219,1200,5,1a,5,1298,220,37
220,1200,5,1a,5,1298,235,39
221,1200,5,1a,5,1298,229,42

222,900,5,1b1q,5,1300,-1,-3
223,1350,5,1b1q,5,1300,82,12
224,1350,5,1b1q,5,1300,-1,-3
225,1350,5,1b1q,5,1300,74,-3
239,1350,5,1b1q,5,1300,81,5
240,1350,5,1b1q,5,1300,-1,-3
241,1350,5,1b1q,5,1300,-1,-3
242,1350,5,1b1q,5,1300,-1,-3
243,1350,5,1b1q,5,1300,-1,-3
