5,1350,1.8040482
5,1300,1.3119072
5,1250,0.99862107
5,1200,0.71005954
5,1150,0.51013777
5,1100,0.36788442
5,1050,0.25479092
5,1000,0.18127712
5,900,0.092865953
1,2000,0.78745291
1,1975,0.75825528
1,1950,0.69664157
1,1925,0.68029714
1,1900,0.64755412
1,1800,0.52998123
1,1700,0.40915517
1,1600,0.32950731
1,1500,0.23228092
1,1400,0.17456937
1,1300,0.12159684
1,1200,0.080928792
1,1100,0.053815125
1,1000,0.032565500
1,900,0.018696125
1,800,0.0099022500
1,700,0.0048085250
2,2000,0.59262308
2,1975,0.55889426
2,1950,0.53618938
2,1925,0.51216285
2,1900,0.48683810
2,1800,0.40072823
2,1700,0.30682733
2,1600,0.23383217
2,1500,0.16738621
2,1400,0.11287866
2,1300,0.086107913
2,1200,0.053873900
2,1100,0.035461875
2,1000,0.021702250
2,900,0.012400938
2,800,0.0066457292
2,700,0.0031846458
3,2000,0.60176151
3,1975,0.57233394
3,1950,0.54655129
3,1925,0.51804149
3,1900,0.49182444
3,1800,0.39851499
3,1700,0.31104595
3,1600,0.23882423
3,1500,0.17722485
3,1400,0.11783518
3,1300,0.078130547
3,1200,0.059385196
3,1100,0.039518125
3,1000,0.024112938
3,900,0.013844500
3,800,0.0073736250
3,700,0.0035997708
4,2000,0.44522645
4,1975,0.42578673
4,1950,0.40595539
4,1925,0.38602563
4,1900,0.36117318
4,1800,0.29221594
4,1700,0.23393253
4,1600,0.17664031
4,1500,0.12654303
4,1400,0.084998933
4,1300,0.063369187
4,1200,0.044616750
4,1100,0.028737000
4,1000,0.017492687
4,900,0.010100062
4,800,0.0054837250
6,1000,0.99814057
6,975,0.79519808
6,950,0.64154591
6,925,0.50047848
6,900,0.42126425
6,850,0.26380691
6,800,0.18147222
6,700,0.10007897
6,600,0.039524719
6,500,0.033377000
6,400,0.015109031
7,1100,0.0891742464
